Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Region
Comoros,0.0575600925063572,0.0566626663026851,0.055785438281559,0.0549031546481277,0.0539894582895731,0.0707133525206215,0.0866997356686543,0.0849235757295044,0.0831240309374632,0.0813717136212743,0.127517332811719,0.125022906944533,0.122627273449289,0.120127596670038,0.1172937982543469,0.128274092931963,0.151666804533047,0.146199932585003,0.10234868889292,0.0739684855656898,0.154860946428397,0.150089573291102,0.145807844768523,0.141840827402347,0.1379948184278699,0.134157152224508,0.120306754336801,0.12656678534543,0.1323267107257369,0.128461257437981,0.1700688535901539,0.16514380486608,0.1603834539264159,0.155808311260489,0.151423379769836,0.168281467582679,0.1637247377846,0.159376836569015,0.174627751842323,0.1701796151293459,0.184380058927867,0.197879095872422,0.193158671068343,0.2400495187864469,0.251159519782998,0.2288984263233189,0.239453280270486,0.187025422989165,0.1825853167931319,0.1930929177973739,0.231986266413028,0.212290787428989,0.207220959709338,0.2427475789300499,0.210695426592397,0.2315306102761,0.2513835522255609,0.3071668161545169,0.31237910327974,Eastern Africa
Cape Verde,0.109044952173267,0.10715903390301,0.087250941034829,0.0678800668249362,0.13158166217386,0.111400436592151,0.0921916574134209,0.0740742237053676,0.1145181501274549,0.139185685926949,0.136505939329866,0.135156552346903,0.188853042771326,0.229975504301504,0.2442604023269239,0.284957815275311,0.270283218780519,0.295146980811093,0.7568161574613841,0.891419909984306,0.426323243426059,0.1143246108120469,0.1246244613314119,0.122141320205445,0.2754981381067489,0.270611676527587,0.1853114054066,0.251213656476831,0.225146127019991,0.243595627755299,0.2958991339032349,0.288826181515702,0.309194604273069,0.300499648961774,0.292235307869897,0.310649049413909,0.353952767531407,0.371059349706121,0.3878665642052489,0.45189032859562,0.5138050063291429,0.5737879876337211,0.632118386743574,0.6890037228426961,0.7446032688083499,0.9502541929966272,1.06570951742542,0.968284473558466,0.998240600940842,1.04794448770925,1.09612620878362,1.1426097206018502,1.04900433654434,0.996599835854145,0.9647369355324192,0.952852841407173,1.03550852882479,1.0976764607934202,1.14020052817031,Western Africa
Djibouti,0.482303847717436,0.49720348462764,0.506045455027971,0.6560058836391099,0.7839694372664571,1.05248921514055,1.13403756632703,0.669746204482326,0.86152126553801,0.5626897237288929,0.872756197467149,0.952624991143755,1.06386516176905,0.9428763335064992,0.9472219514572572,0.8833109551827351,0.796673586636412,0.7136503863452891,0.6548044206643979,1.08019816710307,0.970484176509918,0.801991817226499,0.904214728448768,0.8846241747079742,0.8670354516302231,0.844359128587808,0.831283192365508,0.7927241876505341,0.6585436858332719,0.689365173670536,0.558949716544742,0.560276710780218,0.5528005853182671,0.549713502257059,0.5302363247231521,0.523489613490169,0.5282382167920721,0.529614531412195,0.514354154879384,0.500019286458192,0.515624107238666,0.518404024997988,0.535513229184935,0.53973005598712,0.518403989637104,0.548995975731824,0.5411841108345061,0.583520390933831,0.57572568998274,0.5556763547631128,0.618904681537835,0.562277505034141,0.587465558391773,0.633989059160236,0.511846463864196,0.5908109208116429,0.527382450218864,0.4978286198495921,0.51098993349831,Eastern Africa
Algeria,0.557120253965865,0.535024544085496,0.487888633119182,0.4555738365455639,0.4623627285130721,0.5256151759876599,0.653388930284424,0.6358886088307211,0.663161216667871,0.8018949170101759,1.04217389128179,1.25527026738988,1.85461152930081,2.43877964059575,1.9757589594611895,1.9286977382668,2.2925994856898395,2.3825313448027003,3.45424622530682,2.44646256145698,3.46064717930955,2.34252382316508,1.92001628522037,2.4938597636466,3.26706987242631,3.24482358675233,3.30170515720757,3.5383176790959103,3.4343988039015096,3.1883346944849302,2.6355967761321204,2.5355611120227097,2.4478019914659903,2.65853539125032,2.5359950920431498,2.54018146319181,2.43999820271803,2.44864502480922,2.46880459713011,2.53205015797394,2.53171179217169,2.3773101154147995,2.52424179354584,2.59854905872488,2.5966475808430203,2.68448722945473,2.7867774588317205,2.9420221444239,2.9941892170951,3.19155421416758,3.14474752533191,3.22245952272794,3.3875546261239395,3.40612323474996,3.56620883406526,3.6742329469226,3.53501992705652,3.50574766242013,3.59165741835207,Northern Africa
Egypt,0.602793215351649,0.624427054079298,0.661467926197888,0.746574073018948,0.860935321872668,0.9082845661344732,0.850377447407366,0.613826160592798,0.696556933593643,0.584380701529564,0.6283459356650749,0.6526720945811341,0.7066324734431,0.6449156453675029,0.6927868950537579,0.8067581442104029,0.8750146964704191,0.93889977405919,0.952470347706526,1.01609927587505,1.0445799531613,1.14816451030203,1.24119484063159,1.22177657968352,1.33084446437228,1.29799970872166,1.47354348690456,1.43889260700401,1.39574590973134,1.31744783776503,1.5466430452956204,1.55665123865485,1.57329155707319,1.53355033385072,1.4146634358064898,1.47383391334027,1.5215018381918302,1.60203983620915,1.65059777183047,1.6984225169561202,1.63965480893278,1.78197086804774,1.7869472109438702,1.8021011202824,1.92376988034297,2.12635588124164,2.20010310422281,2.32935002506132,2.37480294892964,2.4094473210499103,2.3742997386554503,2.38509152293329,2.45781641392308,2.38030460207004,2.39591700795628,2.44422078841638,2.4771546382841203,2.47494390185913,2.5020421422902204,Northern Africa
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.194897840310455,0.28142199406691,0.3290606535415039,0.3629390257899939,0.396090630999692,0.3780990455504579,0.276463568673324,0.290514219106718,0.279181805372767,0.2947714699958439,0.274076513295331,0.265285439443408,0.250017556379878,0.212265177225503,0.178191486627586,0.170196293057994,0.146925246393638,0.15064488833047,0.157706965948227,0.180462225989112,0.193839950967723,0.1980829833613339,0.205348482414318,0.194446721299215,0.195465322970907,0.210964653458326,0.231696216140132,Eastern Africa
Ethiopia,0.0158921713070899,0.0150424814433012,0.0170547966884835,0.0177198753295282,0.0166838887224295,0.025801608834606,0.0321779069803721,0.0408837701937224,0.0641008112042338,0.0603371133720504,0.0582020884685174,0.0633135204530808,0.0467183368297569,0.0564759685881249,0.0545538037885585,0.0371577175628411,0.0355319257027052,0.0312343122901108,0.0403449491415971,0.0535890279596214,0.0518614308475602,0.0518695936317747,0.0400448208940143,0.0483579299713059,0.0422817943439619,0.0446511483059222,0.0527780594893505,0.0595802769483276,0.0597276572565244,0.0611004102064673,0.0482376912864604,0.0469663601530466,0.0295584180420228,0.0364007835850329,0.0409561313983603,0.0450498568694178,0.0487402835947457,0.0504139853140107,0.0516736139680914,0.0494226194709455,0.0537562894292379,0.0645545380358419,0.065153462065359,0.0695574281160353,0.0717946568288141,0.0661459604269021,0.0687992699123402,0.0752407738851992,0.0829753053430935,0.0813056557305241,0.0738247695725838,0.0836477260110525,0.0912355801680249,0.1077728629880969,0.125695422925035,0.127732852055517,0.144300198619813,0.145300852934804,0.149050931014413,Eastern Africa
Gabon,0.263538035861871,0.326250066726902,0.172131003256501,0.141699818189898,0.363283043527132,0.405643874553067,0.7021812899198889,1.8267028123612497,3.4676092285992497,2.48214644313799,3.53435587298517,4.73785230965955,4.47805559869545,8.530042670416782,8.59066324898895,8.29061460485717,8.63250115664093,9.33743922491808,10.9255806426443,9.529808631071631,9.13297996103726,8.82902530566205,8.5826958420383,7.038827583744019,7.4467996576895,7.63896448706153,5.84527181866521,4.60330987067885,4.82418372525799,6.248533637034839,4.34968978180987,4.4579492408676105,4.59816891139099,4.56413040206104,4.19956642314226,4.24903981838811,4.241004039736049,4.23189746716994,4.2134555377882,4.01982222711495,3.80182015192627,3.64067637089748,3.36099230775202,3.3258936350426502,3.2722996510531903,3.32961777713854,2.8248903606909503,2.7503030426500694,2.71972120552795,2.67699220804054,2.9369280840515604,3.34791814696292,3.33204357147062,3.1369182254948904,2.91962898416552,2.81358943158305,2.8437926133109395,2.27623628688714,2.17527220393767,Central Africa
Ghana,0.220509797024338,0.196514575680268,0.202743763191169,0.236090510243388,0.219304482574852,0.220319549302064,0.181470236171928,0.183963142842634,0.21195327005435,0.198413547952598,0.300563688849616,0.255820663356308,0.262619885499326,0.260726964996874,0.301286026666262,0.275044848029421,0.2387340766360849,0.288902561533393,0.280471735126553,0.246043198358438,0.231506880538113,0.268523081941794,0.260653835099738,0.303816933959438,0.2080959987695939,0.260174330942487,0.231470889997212,0.242445905300767,0.247410580892142,0.2329971925136389,0.1888545490999489,0.168339540853902,0.1967630560752349,0.198053537285845,0.2089160415337169,0.2180549754796889,0.234216123873186,0.239544670809505,0.332295427631258,0.34976987746732,0.297735601449257,0.314320105113502,0.366485340388818,0.343609357509296,0.31120242222666,0.3218021212169,0.376691475427226,0.3940960321018,0.3632685889120239,0.411651295524548,0.4499666540406969,0.480941312043349,0.546997678991142,0.5641236665813399,0.527833773133592,0.543283051942276,0.4954015257454129,0.507529429152326,0.541201382411755,Western Africa
Guinea,0.117539989536839,0.173435868907915,0.182769807400286,0.18971235323589,0.1874768463497,0.183267481405083,0.185709073733581,0.184231800390049,0.1864088411557289,0.183143469827285,0.1906491253322219,0.192768933208558,0.194010130183958,0.184302778037237,0.189814038331566,0.187789674495819,0.194640816153748,0.194881225073619,0.191835565505146,0.197822850058683,0.197974277042176,0.199229514678762,0.1935674354101269,0.18351081900042,0.183819220936439,0.181650262963751,0.177180597645939,0.171298340051054,0.1716277051472259,0.169452515452016,0.157423741578223,0.156084160579384,0.156342316415407,0.156585939365575,0.158167091952557,0.159567934053324,0.164795809952649,0.1683617914790919,0.173010996884275,0.1775351050840219,0.180809114720956,0.1865254490808099,0.189842229460556,0.194216972575535,0.198303130198105,0.2019850520084069,0.2041381817798939,0.208023421335996,0.206391015891492,0.21275592179012,0.245286380679753,0.251428463947701,0.233758216272726,0.200131811584896,0.200879385380823,0.2221814792318049,0.2410883768652619,0.24611527343324,0.25132323293185,Western Africa
