Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Region
Comoros,25.66775,26.212,25.8355,25.466083333333334,25.469083333333334,25.390666666666664,25.90591666666667,25.892750000000003,25.4145,26.133499999999998,25.91,25.379166666666666,25.806833333333334,25.868083333333335,25.459500000000002,25.660666666666668,25.69475,26.207166666666666,25.885666666666665,25.922,25.927916666666665,25.944166666666664,26.251500000000004,26.17441666666667,25.57641666666667,25.75675,26.011499999999998,26.364250000000002,26.329083333333333,25.77775,26.15325,26.196833333333334,26.21783333333333,26.178166666666666,26.4525,26.385083333333338,25.953333333333333,26.30516666666667,26.64725,26.288083333333333,25.995500000000003,26.41425,26.657750000000004,26.6005,26.391916666666663,26.68216666666667,26.465833333333336,26.604583333333334,26.18825,26.59325,26.786833333333334,26.453999999999997,26.38325,26.542875000000002,Eastern Africa
Republic of the Congo,24.59025,24.365333333333336,24.56925,24.6915,24.45141666666667,24.452166666666667,24.69825,24.437750000000005,24.426166666666663,24.6965,24.741083333333332,24.326333333333334,24.55933333333333,24.91325,24.367333333333335,24.39325,24.259666666666664,24.76125,24.608999999999998,24.89108333333333,24.7565,24.60025,24.433333333333334,24.88191666666667,24.71375,24.514,24.5805,25.13025,24.917666666666666,24.605500000000003,24.766499999999997,24.8215,24.549833333333336,24.679833333333335,24.842916666666667,25.09691666666667,24.668000000000003,25.0605,25.540499999999998,24.8125,24.786,24.732916666666668,25.047666666666668,25.056749999999997,25.12816666666667,25.268916666666666,25.282666666666668,25.22975,25.292416666666668,25.349249999999998,25.559416666666667,24.77508333333333,24.873500000000003,25.139375,Central Africa
Democratic Republic of the Congo,23.767333333333337,23.7915,23.730166666666666,23.75583333333333,23.671916666666664,23.691000000000003,23.876,23.64075,23.62483333333333,24.00491666666667,23.964583333333334,23.569583333333338,23.951583333333332,24.168916666666664,23.659583333333334,23.681,23.676166666666663,24.085166666666666,24.006583333333335,24.170083333333334,24.204083333333333,24.067833333333336,23.931166666666666,24.370166666666666,23.996583333333334,23.857833333333332,23.981333333333335,24.583250000000003,24.32241666666667,23.915166666666668,24.206999999999997,24.06325,24.132583333333333,24.086166666666667,24.225250000000003,24.469916666666666,24.19775,24.535666666666668,24.737333333333336,24.01275,24.206166666666665,24.256249999999998,24.562749999999998,24.567333333333334,24.547749999999997,24.982083333333335,24.526916666666665,24.38508333333333,24.341333333333335,24.541666666666668,24.758916666666664,24.16316666666667,24.206333333333333,24.560375,Central Africa
Cote d'Ivoire,26.143,26.067583333333335,26.009416666666667,26.299083333333332,25.87075,25.862583333333333,26.187166666666666,25.8055,26.058916666666665,26.420416666666668,26.317916666666665,25.868,26.143083333333333,26.578000000000003,25.94541666666667,25.846416666666666,25.675749999999997,26.284333333333333,26.133750000000003,26.414083333333334,26.327749999999998,26.34175,26.02425,26.601249999999997,26.360166666666668,26.141000000000002,26.12183333333333,27.002416666666665,26.494333333333334,26.393333333333334,26.498500000000003,26.334666666666667,26.17725,26.322833333333335,26.24825,26.4645,26.423333333333332,26.460833333333337,27.040666666666667,26.414583333333336,26.402333333333335,26.673333333333332,26.769666666666666,26.939333333333334,26.82858333333333,26.914916666666667,26.7915,26.944583333333338,26.75825,26.93433333333333,27.146583333333336,26.83725,26.55241666666667,27.061125,Western Africa
Djibouti,28.701166666666666,28.869500000000002,28.718333333333334,29.097583333333333,28.643833333333333,28.422333333333338,28.8195,28.55541666666667,28.543583333333334,29.148333333333337,28.989250000000002,28.609333333333336,29.089083333333335,29.114583333333332,28.467333333333332,28.697833333333335,28.716000000000005,29.019416666666668,29.06325,29.035833333333333,29.509416666666667,28.879166666666666,29.047083333333333,29.176583333333337,28.69066666666667,28.689666666666668,28.797916666666666,29.11366666666667,29.531833333333335,28.797,29.302999999999997,29.289416666666668,28.999,28.74083333333333,29.06233333333333,29.25975,29.16525,29.269333333333336,29.7805,29.3715,29.860000000000003,29.476916666666668,29.531583333333334,29.757833333333334,29.540916666666664,29.80858333333333,29.777416666666667,29.786333333333335,29.339250000000003,29.89675,29.837000000000003,29.844333333333335,29.923583333333337,30.74475,Eastern Africa
Egypt,23.621166666666667,22.23375,23.49683333333333,23.652,22.473083333333335,22.76325,23.369833333333332,22.280916666666666,22.738833333333332,23.404416666666666,22.70841666666667,22.680000000000003,22.85475,22.740583333333333,22.690250000000002,22.578083333333336,22.860916666666668,22.667749999999998,22.953666666666667,23.560166666666664,23.065416666666668,22.85175,22.45375,22.09358333333333,22.881249999999998,23.209666666666667,22.901833333333332,22.848916666666668,23.236500000000003,22.790000000000003,23.09141666666667,23.0885,22.554916666666667,23.39225,23.235,23.169166666666666,23.426333333333332,22.939666666666668,23.68241666666667,23.77933333333333,22.881416666666667,23.616333333333333,23.716250000000002,23.496416666666665,23.511083333333332,23.52025,23.505666666666666,23.584333333333333,23.907916666666665,23.735,25.151916666666665,23.33141666666667,23.77091666666667,24.50525,Northern Africa
Equatorial Guinea,25.14491666666667,24.891000000000002,25.01591666666667,25.273833333333332,24.885666666666665,24.93958333333333,25.2705,25.03141666666667,24.997416666666666,25.19125,25.19633333333333,24.871499999999997,25.002666666666666,25.384,24.843166666666665,24.826833333333337,24.650750000000002,25.22683333333333,25.021666666666665,25.378249999999998,25.366500000000002,24.927000000000003,24.855416666666667,25.19333333333334,25.204416666666663,24.95775,24.902416666666667,25.490916666666667,25.409499999999998,25.13,25.285,25.235083333333336,24.889166666666668,25.189333333333334,25.2865,25.614583333333332,25.238416666666666,25.32525,26.003500000000003,25.323000000000004,25.220583333333334,25.207250000000002,25.5265,25.627416666666665,25.594166666666666,25.62391666666667,25.785416666666666,25.773666666666667,25.76875,25.832833333333337,25.902500000000003,25.545666666666666,25.536833333333334,25.5905,Central Africa
Eritrea,27.010583333333333,26.54416666666667,26.8385,27.107416666666666,26.312833333333334,26.664583333333336,27.047416666666667,26.371083333333335,26.460250000000002,27.021833333333333,26.864500000000003,26.376333333333335,26.974083333333336,27.162583333333334,26.670583333333337,26.576666666666668,26.800666666666668,26.823833333333337,26.881833333333333,27.169833333333333,27.33983333333333,26.96541666666667,26.63525,26.77625,27.090833333333336,26.693916666666667,26.702083333333334,27.132166666666667,27.237583333333333,26.6545,27.448083333333333,27.256833333333333,26.428916666666666,26.93025,26.890583333333336,27.136666666666667,27.183916666666665,27.146,27.577833333333334,27.514083333333332,27.51725,27.410583333333335,27.639416666666666,27.72975,27.5775,27.69,27.492,27.485416666666666,27.594333333333335,28.092583333333334,28.054166666666664,27.58575,27.880083333333335,28.5035,Eastern Africa
Ethiopia,22.94241666666667,22.895666666666667,22.859583333333333,23.074333333333332,22.847583333333333,22.85075,22.956333333333333,22.717583333333334,22.635166666666667,23.187416666666667,23.135583333333333,22.752083333333335,23.251,23.446250000000003,22.79225,22.84766666666667,22.999916666666667,23.137249999999998,23.11725,23.32941666666667,23.642,23.154583333333335,23.2555,23.493333333333336,23.192000000000004,22.916583333333335,23.193250000000003,23.626583333333333,23.51908333333333,22.855999999999998,23.379583333333333,23.41241666666667,23.239500000000003,22.98875,23.20866666666667,23.3965,23.358583333333332,23.423833333333334,23.68941666666667,23.446833333333334,23.762583333333335,23.6615,23.82325,23.857166666666668,23.778666666666666,23.89691666666667,23.77808333333333,23.724,23.60258333333333,24.273583333333335,23.9275,24.074166666666667,23.976166666666668,24.6315,Eastern Africa
Gabon,24.530833333333334,24.196416666666668,24.357833333333335,24.59625,24.26375,24.28291666666667,24.59566666666667,24.2895,24.25691666666667,24.503583333333335,24.49875,24.167333333333335,24.265,24.695833333333336,24.149666666666665,24.17325,23.909333333333336,24.5535,24.347333333333335,24.693749999999998,24.62375,24.295416666666668,24.127750000000002,24.613083333333336,24.62366666666667,24.303416666666667,24.296499999999998,24.847083333333334,24.773666666666667,24.508083333333335,24.570833333333336,24.566833333333335,24.24025,24.5445,24.64708333333333,24.936916666666665,24.46475,24.73041666666667,25.394833333333334,24.736833333333333,24.57241666666667,24.513583333333333,24.833916666666667,24.912000000000003,24.853250000000003,24.965416666666666,25.157750000000004,25.063583333333337,25.127916666666668,25.134666666666664,25.221,24.73091666666667,24.831666666666667,24.8385,Central Africa
